url	md5	Data collection	Data type	Analysis group	Sample	Population	Data reuse policy
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239552/NA18917.final.cram	1aba3215ab1f2b57f7414c8f20b07e6a	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA18917	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239617/NA19092.final.cram	b98f73432ba48b8f1ecf3e514249ad8b	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA19092	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239622/NA19117.final.cram	4cef7a3342aae209700dad0d5629a692	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA19117	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239624/NA19121.final.cram	82176c7257397134d19943e470315148	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA19121	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239629/NA19184.final.cram	a557eea6c4095cf12627daff7e6d56bc	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA19184	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239636/NA19223.final.cram	e95834f445a89c3a9ac8c0b5abfb49c1	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA19223	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239668/NA18878.final.cram	75459c23408db9e707cf7fb7d9556170	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA18878	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239338/NA18499.final.cram	2e81b7fa1eb745f347b210700c99eb3e	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA18499	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239345/NA18510.final.cram	b6ed68403c873d0855ca12ef9f1bbabb	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA18510	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR323/ERR3239351/NA18522.final.cram	468f312706890d2138e49c8b30dfe0a8	1000 Genomes 30x on GRCh38	alignment	PCR-free high coverage	NA18522	Yoruba in Ibadan, Nigeria	http://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/1000G_2504_high_coverage/20200526_1000G_2504plus698_high_cov_data_reuse_README.txt
